station,rec_lat,rec_long,id,deploy_datetime,deploy_datetime,deploy_date,retrieve_datetime,retrieve_date,retrieve_time,depth,side,notes,status
3,45.265128,-75.721348,1500042,NA,NA,NA,2023-04-26 13:00,2023-04-26,13:00:00,,,,
28,45.189778,-75.832135,1900058,NA,NA,NA,2023-04-27 10:55,2023-04-27,10:55:00,,,,
29,45.1904,-75.831678,1900076,NA,NA,NA,2023-04-27 11:05,2023-04-27,11:05:00,,,,
27,45.1925602,-75.828773,1900020,NA,NA,NA,2023-04-27 10:33,2023-04-27,10:33:00,,,,
26,45.193753,-75.828728,1900051,NA,NA,NA,2023-04-27 10:25,2023-04-27,10:25:00,,,,
11,45.2491856,-75.7898132,1900032,NA,NA,NA,2023-04-27 12:55,2023-04-27,12:55:00,,,,
13,45.2539031,-75.803416,1900060,NA,NA,NA,2023-04-27 13:25,2023-04-27,13:25:00,,,,
5,45.256667,-75.753056,1900013,NA,NA,NA,2023-04-30 10:13,2023-04-30,10:13:00,,,,
6,45.252778,-75.763333,1900023,NA,NA,NA,2023-04-30 10:33,2023-04-30,10:33:00,,,,
9,45.250411,-75.776051,1900024,NA,NA,NA,2023-04-30 11:27,2023-04-30,11:27:00,,,,
7,45.249581,75.768531,1900040,NA,NA,NA,2023-04-30 11:53,2023-04-30,11:53:00,,,,
25,45.1990395,-75.82794581,1900018,NA,NA,NA,2023-05-16 11:25,2023-05-16,11:25:00,,,,
24,45.201805,-75.8247148,1700103,NA,NA,NA,2023-05-16 11:50,2023-05-16,11:50:00,,,,
21,45.2077412,-75.8149586,1500050,NA,NA,NA,2023-05-16 10:45,2023-05-16,10:45:00,,,,
19,45.2237649,-75.8075929,1900038,NA,NA,NA,2023-05-16 10:08,2023-05-16,10:08:00,,,,
18,45.2386351,-75.8072861,1900053,NA,NA,NA,2023-05-16 14:10,2023-05-16,14:10:00,,,,
17,45.2444475,-75.8065841,1900062,NA,NA,NA,2023-05-16 14:35,2023-05-16,14:35:00,,,,
16,45.2483436,-75.8057043,1900044,NA,NA,NA,2023-05-16 15:03,2023-05-16,15:03:00,,,,
14,45.25333333,-75.8075,1500045,NA,NA,NA,2023-05-16 15:38,2023-05-16,15:38:00,,,,
1,45.26113,-75.7158,200052,NA,NA,NA,2023-04-27 14:30,2023-04-27,14:30:00,,,jordie rec,
